,ICE_IME_id,ICE_IME_id_need_manual_curation,Segment_number,Comments_ICE_IME_structure,Is_hit_blast,Is_hit_HMM,CDS_num,Genome_accession,Genome_accession_rank,CDS_locus_tag,CDS_protein_id,CDS_strand,CDS_start,CDS_end,CDS_length,Is_pseudo,CDS_Protein_type,CDS_Protein_type_blast,Description_of_blast_most_similar_ref_SP,Id_of_blast_most_similar_ref_SP,Length_of_blast_most_similar_ref_SP,Blast_ali_length,Blast_ali_start_CDS,Blast_ali_end_CDS,Blast_ali_start_Query_blast,Blast_ali_end_Query_blast,Blast_ali_identity_perc,Blast_ali_E-value,Blast_ali_bitscore,CDS_coverage_blast,Blast_ali_coverage_most_similar_ref_SP,Protein_type_of_blast_most_similar_ref_SP,Associated_element_type_of_blast_most_similar_ref_SP,ICE_superfamily_of_most_similar_ref_SP,ICE_family_of_most_similar_ref_SP,IME_superfamily_of_most_similar_ref_SP,Relaxase_family_domain_of_most_similar_ref_SP,Relaxase_family_MOB_of_most_similar_ref_SP,Coupling_type_of_most_similar_ref_SP,False_positives,SP_blast_validation,Use_annotation,Protein_type_of_matching_HMM_profile,Description_of_matching_HMM_profile,Profile_name,Length_of_matching_HMM_profile,HMM_ali_i-Evalue,HMM_ali_E-value,HMM_ali_Score,HMM_ali_Bias,HMM_ali_Global_score,HMM_ali_Global_bias,HMM_coverage,CDS_coverage_hmm,Genome,Population
108,ID_1,,1,Downstream integrase FLKINKEO_01361 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1328,KRP157G17c1Yellow,1,FLKINKEO_01361,-,+,1243676,1244749,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,3.84e-19,81.3,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.3e-42,7.7e-43,131.7,0.6,132.4,0.6,98.26,45.94,KRP1_SE057_G17_cluster1_Yellow,Yellow
109,ID_1,,1,,0,1,1169,KRP157G23c1Yellow,1,DJNEOCAA_01201,-,+,1118225,1120495,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,4.2e-17,2.1e-17,48.3,0.0,49.2,0.0,93.69,26.98,KRP1_SE057_G23_cluster1_Yellow,Yellow
110,ID_1,,1,,1,1,1199,KRP157G23c1Yellow,1,DJNEOCAA_01231,-,-,1144934,1147450,838,-,VirB4,VirB4,VirB4,AEJ26068,783.0,396.0,161.0,526.0,136.0,508.0,25.25,2.01e-09,54.3,43.68,47.64,VirB4,ICE,Tn5252,-,-,-,-,-,-,validated,no,VirB4,VirB4,T4SS_virb4,943,1.6e-115,1.4e-115,373.4,0.5,373.6,0.5,79.43,96.54,KRP1_SE057_G23_cluster1_Yellow,Yellow
111,ID_1,,1,Downstream integrase DJNEOCAA_01262 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1230,KRP157G23c1Yellow,1,DJNEOCAA_01262,-,+,1171092,1172165,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,3.84e-19,81.3,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.3e-42,7.7e-43,131.7,0.6,132.4,0.6,98.26,45.94,KRP1_SE057_G23_cluster1_Yellow,Yellow
112,,,1,,0,1,1105,KRP157G71c2veneni,1,IGKJFKIH_01130,-,+,1078711,1079889,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G71_cluster2_veneni,veneni
113,,__IMEICEID_BasicEMStructure__1__,2,The SP IGKJFKIH_01277 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1250,KRP157G71c2veneni,1,IGKJFKIH_01277,-,-,1217878,1219431,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G71_cluster2_veneni,veneni
114,,,1,,0,1,959,KRP157G72c2veneni,1,JLAIGJII_00984,-,+,941782,942960,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.3e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE057_G72_cluster2_veneni,veneni
115,,__IMEICEID_BasicEMStructure__1__,2,The SP JLAIGJII_01192 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,1164,KRP157G72c2veneni,1,JLAIGJII_01192,-,+,1119101,1120654,517,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp1,110,9.2e-06,3.5e-06,12.7,0.0,14.0,0.0,43.64,11.22,KRP1_SE057_G72_cluster2_veneni,veneni
116,ID_1,,1,,0,1,1153,KRP157G76c2Yellow,1,MMLOOGAP_01182,-,+,1082956,1085226,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,4.2e-17,2.1e-17,48.3,0.0,49.2,0.0,93.69,26.98,KRP1_SE057_G76_cluster2_Yellow,Yellow
117,ID_1,,1,,1,1,1183,KRP157G76c2Yellow,1,MMLOOGAP_01212,-,-,1109665,1112181,838,-,VirB4,VirB4,VirB4,AEJ26068,783.0,396.0,161.0,526.0,136.0,508.0,25.25,2.01e-09,54.3,43.68,47.64,VirB4,ICE,Tn5252,-,-,-,-,-,-,validated,no,VirB4,VirB4,T4SS_virb4,943,1.6e-115,1.4e-115,373.4,0.5,373.6,0.5,79.43,96.54,KRP1_SE057_G76_cluster2_Yellow,Yellow
118,ID_1,,1,Downstream integrase MMLOOGAP_01243 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1214,KRP157G76c2Yellow,1,MMLOOGAP_01243,-,+,1135823,1136896,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,3.84e-19,81.3,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.3e-42,7.7e-43,131.7,0.6,132.4,0.6,98.26,45.94,KRP1_SE057_G76_cluster2_Yellow,Yellow
119,ID_1,,1,,0,1,1084,KRP157G82c1Yellow,1,PMOAENMO_01103,-,+,1014086,1016356,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,4.2e-17,2.1e-17,48.3,0.0,49.2,0.0,93.69,26.98,KRP1_SE057_G82_cluster1_Yellow,Yellow
120,ID_1,,1,,1,1,1114,KRP157G82c1Yellow,1,PMOAENMO_01133,-,-,1040795,1043311,838,-,VirB4,VirB4,VirB4,AEJ26068,783.0,396.0,161.0,526.0,136.0,508.0,25.25,2.01e-09,54.3,43.68,47.64,VirB4,ICE,Tn5252,-,-,-,-,-,-,validated,no,VirB4,VirB4,T4SS_virb4,943,1.6e-115,1.4e-115,373.4,0.5,373.6,0.5,79.43,96.54,KRP1_SE057_G82_cluster1_Yellow,Yellow
121,ID_1,,1,Downstream integrase PMOAENMO_01164 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1145,KRP157G82c1Yellow,1,PMOAENMO_01164,-,+,1066953,1068026,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,3.84e-19,81.3,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.3e-42,7.7e-43,131.7,0.6,132.4,0.6,98.26,45.94,KRP1_SE057_G82_cluster1_Yellow,Yellow
122,ID_1,,1,,0,1,1249,KRP157G83c3Yellow,1,HKDPEMAI_01279,-,+,1173715,1175985,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,4.2e-17,2.1e-17,48.3,0.0,49.2,0.0,93.69,26.98,KRP1_SE057_G83_cluster3_Yellow,Yellow
123,ID_1,,1,,1,1,1279,KRP157G83c3Yellow,1,HKDPEMAI_01309,-,-,1200424,1202940,838,-,VirB4,VirB4,VirB4,AEJ26068,783.0,396.0,161.0,526.0,136.0,508.0,25.25,2.01e-09,54.3,43.68,47.64,VirB4,ICE,Tn5252,-,-,-,-,-,-,validated,no,VirB4,VirB4,T4SS_virb4,943,1.6e-115,1.4e-115,373.4,0.5,373.6,0.5,79.43,96.54,KRP1_SE057_G83_cluster3_Yellow,Yellow
124,ID_1,,1,Downstream integrase HKDPEMAI_01340 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1310,KRP157G83c3Yellow,1,HKDPEMAI_01340,-,+,1226582,1227655,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,3.84e-19,81.3,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.3e-42,7.7e-43,131.7,0.6,132.4,0.6,98.26,45.94,KRP1_SE057_G83_cluster3_Yellow,Yellow
125,ID_1,,1,,0,1,1095,KRP157G84c4Yellow,1,IDHBFACL_01121,-,+,1025444,1027714,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,4.2e-17,2.1e-17,48.3,0.0,49.2,0.0,93.69,26.98,KRP1_SE057_G84_cluster4_Yellow,Yellow
126,ID_1,,1,,1,1,1125,KRP157G84c4Yellow,1,IDHBFACL_01151,-,-,1052153,1054669,838,-,VirB4,VirB4,VirB4,AEJ26068,783.0,396.0,161.0,526.0,136.0,508.0,25.25,2.01e-09,54.3,43.68,47.64,VirB4,ICE,Tn5252,-,-,-,-,-,-,validated,no,VirB4,VirB4,T4SS_virb4,943,1.6e-115,1.4e-115,373.4,0.5,373.6,0.5,79.43,96.54,KRP1_SE057_G84_cluster4_Yellow,Yellow
127,ID_1,,1,Downstream integrase IDHBFACL_01182 has been associated to the structure ID_1 pre-merging because it is adjacent to the conj module and there is no upstream/downstream ambiguity. ,1,1,1156,KRP157G84c4Yellow,1,IDHBFACL_01182,-,+,1078311,1079384,357,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,AAO81971,382.0,363.0,10.0,333.0,12.0,365.0,25.34,3.84e-19,81.3,90.76,92.67,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.3e-42,7.7e-43,131.7,0.6,132.4,0.6,98.26,45.94,KRP1_SE057_G84_cluster4_Yellow,Yellow
128,,__IMEICEID_BasicEMStructure__1__,1,The SP KNEKKAOP_00319 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,308,KRP158G121c1Orange,1,KNEKKAOP_00319,-,+,274543,276813,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G121_cluster1_Orange,Orange
129,,,2,,1,1,1529,KRP158G121c1Orange,1,KNEKKAOP_01568,-,-,1432113,1433144,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G121_cluster1_Orange,Orange
130,,,3,,1,1,1683,KRP158G121c1Orange,1,KNEKKAOP_01728,-,-,1589612,1590610,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G121_cluster1_Orange,Orange
131,,__IMEICEID_BasicEMStructure__1__,1,The SP NIIIPCKC_00015 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,15,KRP158G122c2Orange,1,NIIIPCKC_00015,-,-,12807,15077,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G122_cluster2_Orange,Orange
132,,,2,,1,1,1231,KRP158G122c2Orange,1,NIIIPCKC_01267,-,-,1171879,1172910,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G122_cluster2_Orange,Orange
133,,,3,,1,1,1485,KRP158G122c2Orange,1,NIIIPCKC_01528,-,+,1413613,1414611,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G122_cluster2_Orange,Orange
134,,__IMEICEID_BasicEMStructure__1__,1,The SP LLCDKMIM_00204 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,195,KRP158G125c2Orange,1,LLCDKMIM_00204,-,+,168906,171176,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G125_cluster2_Orange,Orange
135,,,2,,1,1,1484,KRP158G125c2Orange,1,LLCDKMIM_01517,-,+,1391829,1392860,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G125_cluster2_Orange,Orange
136,,,3,,1,1,1660,KRP158G125c2Orange,1,LLCDKMIM_01699,-,-,1567222,1568220,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G125_cluster2_Orange,Orange
137,,__IMEICEID_BasicEMStructure__1__,1,The SP AEBCGJOJ_00204 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,195,KRP158G127c1Orange,1,AEBCGJOJ_00204,-,+,168906,171176,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G127_cluster1_Orange,Orange
138,,,2,,1,1,1437,KRP158G127c1Orange,1,AEBCGJOJ_01472,-,+,1346429,1347460,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G127_cluster1_Orange,Orange
139,,,3,,1,1,1644,KRP158G127c1Orange,1,AEBCGJOJ_01687,-,+,1548757,1549755,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G127_cluster1_Orange,Orange
140,,__IMEICEID_BasicEMStructure__1__,1,The SP JJPPPFOK_00204 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,195,KRP158G128c2Orange,1,JJPPPFOK_00204,-,+,168432,170702,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G128_cluster2_Orange,Orange
141,,,2,,1,1,1507,KRP158G128c2Orange,1,JJPPPFOK_01542,-,+,1411458,1412489,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G128_cluster2_Orange,Orange
142,,,3,,1,1,1662,KRP158G128c2Orange,1,JJPPPFOK_01702,-,+,1558729,1559727,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G128_cluster2_Orange,Orange
143,,__IMEICEID_BasicEMStructure__1__,1,The SP OEJFALPE_00149 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,142,KRP158G129c2Orange,1,OEJFALPE_00149,-,-,129533,131803,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G129_cluster2_Orange,Orange
144,,,2,,1,1,1484,KRP158G129c2Orange,1,OEJFALPE_01523,-,+,1396947,1397978,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G129_cluster2_Orange,Orange
145,,,3,,1,1,1658,KRP158G129c2Orange,1,OEJFALPE_01702,-,+,1565536,1566534,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G129_cluster2_Orange,Orange
146,,__IMEICEID_BasicEMStructure__1__,1,The SP HAJHBIEK_00149 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,142,KRP158G130c1Orange,1,HAJHBIEK_00149,-,-,129654,131924,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G130_cluster1_Orange,Orange
147,,,2,,1,1,1516,KRP158G130c1Orange,1,HAJHBIEK_01555,-,-,1421680,1422711,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G130_cluster1_Orange,Orange
148,,,3,,1,1,1687,KRP158G130c1Orange,1,HAJHBIEK_01731,-,+,1588634,1589632,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G130_cluster1_Orange,Orange
149,,,1,,0,1,370,KRP158G130c2veneni,1,BFJMNBLE_00375,-,-,304019,305197,392,-,Tyrosine integrase,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,6.1e-07,3.4e-07,15.6,0.0,16.4,0.0,68.02,32.4,KRP1_SE058_G130_cluster2_veneni,veneni
150,,__IMEICEID_BasicEMStructure__1__,2,The SP BFJMNBLE_00487 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,482,KRP158G130c2veneni,1,BFJMNBLE_00487,-,+,408726,410120,464,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,8.9e-31,5.5e-31,93.0,0.2,93.6,0.2,89.19,39.44,KRP1_SE058_G130_cluster2_veneni,veneni
151,,__IMEICEID_BasicEMStructure__1__,1,The SP FGNMFODC_00702 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,688,KRP158G131c1Orange,1,FGNMFODC_00702,-,+,657509,659779,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G131_cluster1_Orange,Orange
152,,,2,,1,1,1358,KRP158G131c1Orange,1,FGNMFODC_01396,-,-,1289581,1290612,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G131_cluster1_Orange,Orange
153,,,3,,1,1,1576,KRP158G131c1Orange,1,FGNMFODC_01619,-,+,1494686,1495684,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G131_cluster1_Orange,Orange
154,,__IMEICEID_BasicEMStructure__1__,1,The SP BBIBKMBP_00149 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,142,KRP158G132c2Orange,1,BBIBKMBP_00149,-,-,129749,132019,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G132_cluster2_Orange,Orange
155,,,2,,1,1,1524,KRP158G132c2Orange,1,BBIBKMBP_01563,-,-,1428327,1429358,343,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,BAA19318,368.0,322.0,5.0,290.0,24.0,339.0,25.47,1.92e-14,67.0,83.38,85.87,Integrase,ICE,-,-,-,-,-,-,-,validated,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,3.1e-26,9.999999999999999e-27,78.4,0.0,79.9,0.0,85.47,41.98,KRP1_SE058_G132_cluster2_Orange,Orange
156,,,3,,1,1,1660,KRP158G132c2Orange,1,BBIBKMBP_01705,-,-,1568940,1569938,332,-,Tyrosine integrase,Tyrosine integrase,Tyrosine integrase,CAJ67935,397.0,259.0,98.0,310.0,121.0,376.0,27.41,2.32e-19,81.6,64.16,64.48,Integrase,ICE,-,-,-,-,-,-,-,possible_pseudogene,no,Tyrosine integrase,Tyrosine integrase,Phage_integrase,172,1.1e-36,3.1e-37,112.4,0.3,114.1,1.4,97.09,46.08,KRP1_SE058_G132_cluster2_Orange,Orange
157,,__IMEICEID_BasicEMStructure__1__,1,The SP EIOHMKFJ_00209 seems to be an isolated coupling protein and is therefore not reported as an ICE / IME structure by ICEscreen. Please manually check if it is a false positive or for the potential presence of other undetected SP in its genomic neighborhood.,0,1,206,KRP158G173c1Orange,1,EIOHMKFJ_00209,-,+,194651,196921,756,-,Coupling protein,,,,,,,,,,,,,,,,,,,,,,,,,,Coupling protein,VirD4,t4cp2,222,3.7e-17,1.9e-17,48.4,0.0,49.4,0.0,93.69,26.98,KRP1_SE058_G173_cluster1_Orange,Orange
