Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A2Z4UUL8	unreviewed	Formyl transferase C-terminal domain-containing protein	2099583	Streptomyces sp. ICC1	604	IPR009188	1..590
A0A2Z4ZS43	unreviewed	Formyl transferase	86265	Pseudomonas thivervalensis	572	IPR009188	4..572
A0A2Z5JMX7	unreviewed	Hydrogenase maturation protein	1893	Streptomyces atratus	604	IPR009188	1..586
A0A2Z5JU42	unreviewed	Methionyl-tRNA formyltransferase	2072505	Streptomyces sp. Go-475	581	IPR009188	1..579
A0A2Z6DYR7	unreviewed	Hydrogenase maturation protein, formyl transferase	297	Hydrogenophilus thermoluteolus	574	IPR009188	1..568
A0A317HM27	unreviewed	Hydrogenase maturation protein	2052146	Blastocatellia bacterium	602	IPR009188	1..579
A0A317N844	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2183985	Halomonas sp. A11-A	579	IPR009188	1..577
A0A327JIC4	unreviewed	Hydrogenase maturation protein	34017	Rhodobium orientis	558	IPR009188	1..558
A0A327UUR7	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1305829	Streptomyces sp. Amel2xB2	556	IPR009188	1..556
A0A327ZHY6	unreviewed	Formyl transferase C-terminal domain-containing protein	1287878	Actinoplanes lutulentus	604	IPR009188	1..573
A0A344U2E5	unreviewed	Formyl transferase C-terminal domain-containing protein	68209	Streptomyces globosus	593	IPR009188	1..580
A0A344UKC5	unreviewed	Formyl transferase C-terminal domain-containing protein	2202141	Chromobacterium phragmitis	565	IPR009188	4..565
A0A345RRF7	unreviewed	Formyl transferase	1628086	Pseudomonas kribbensis	572	IPR009188	4..571
A0A345UY11	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..570
A0A347TJT0	unreviewed	[Ni-Fe] hydrogenase maturation protein HypX	505249	Malaciobacter marinus	549	IPR009188	1..549
A0A350SMB3	unreviewed	Hydrogenase maturation protein	1904254	Hydrogenophaga sp.	584	IPR009188	4..584
A0A353Y823	unreviewed	Formyl transferase C-terminal domain-containing protein	1888168	Curvibacter sp.	572	IPR009188	1..572
A0A354Z555	unreviewed	Hydrogenase maturation protein	2006849	Lysobacterales bacterium	576	IPR009188	1..575
A0A355AC88	unreviewed	Hydrogenase maturation protein	1871037	Flavobacteriaceae bacterium	579	IPR009188	1..572
A0A356V8I6	unreviewed	Hydrogenase maturation protein	1904441	Paracoccaceae bacterium	558	IPR009188	1..558
A0A363SIE5	unreviewed	Hydrogenase maturation protein	2072421	Rhodocyclales bacterium	580	IPR009188	1..579
A0A364NUT7	unreviewed	Hydrogenase maturation protein	2053833	Paramagnetospirillum kuznetsovii	541	IPR009188	1..541
A0A367EBK5	unreviewed	Hydrogenase maturation protein	2250578	Streptomyces reniochalinae	560	IPR009188	1..558
A0A367EKV0	unreviewed	Hydrogenase maturation protein	2800381	Streptomyces diacarni	560	IPR009188	1..554
A0A369UZB7	unreviewed	Hydrogenase maturation protein	2282381	Dyella tabacisoli	567	IPR009188	1..562
A0A369WGR5	unreviewed	Hydrogenase maturation protein	2283196	Motiliproteus coralliicola	572	IPR009188	1..572
A0A369XPN0	unreviewed	Hydrogenase maturation protein	2211374	Candidatus Accumulibacter meliphilus	581	IPR009188	1..579
A0A370GK77	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	279262	Nocardia mexicana	564	IPR009188	1..564
A0A370HS51	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	45979	Nocardia pseudobrasiliensis	564	IPR009188	1..564
A0A370VXY6	unreviewed	Hydrogenase maturation protein	255705	Streptomyces sp. M7	560	IPR009188	1..559
A0A371K724	unreviewed	Hydrogenase maturation protein	2293254	Lysobacter silvisoli	563	IPR009188	1..561
A0A371Q870	unreviewed	Hydrogenase maturation protein	2293571	Streptomyces inhibens	575	IPR009188	1..574
A0A371XKG0	unreviewed	Hydrogenase maturation protein	2292703	Streptomyces sp. AcE210	581	IPR009188	1..580
A0A372BYN7	unreviewed	Formyl transferase C-terminal domain-containing protein	2301224	Wenzhouxiangella sp. 15181	572	IPR009188	1..572
A0A372ZMN5	unreviewed	Hydrogenase maturation protein	83382	Kitasatospora xanthocidica	562	IPR009188	1..562
A0A373A0H1	unreviewed	Hydrogenase maturation protein	83382	Kitasatospora xanthocidica	572	IPR009188	1..571
A0A378WVJ1	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase-1	134964	Nocardia africana	564	IPR009188	1..564
A0A379IGB8	unreviewed	Formyl transferase domain/enoyl-CoA hydratase/isomerase family protein	294	Pseudomonas fluorescens	572	IPR009188	4..571
A0A388SWR9	unreviewed	Formyl transferase C-terminal domain-containing protein	1690221	Streptomyces spongiicola	568	IPR009188	1..568
A0A399PUL8	unreviewed	Formyl transferase	2292261	Pseudomonas sp. 91RF	561	IPR009188	4..561
A0A3A4RAH0	unreviewed	Formyl transferase N-terminal domain-containing protein	1871071	Comamonadaceae bacterium	583	IPR009188	8..583
A0A3B1AJC2	unreviewed	Hydrogenase assembly protein HoxX	652676	hydrothermal vent metagenome	568	IPR009188	1..566
A0A3B1C9F5	unreviewed	Hydrogenase assembly protein HoxX	652676	hydrothermal vent metagenome	568	IPR009188	1..567
A0A3B7A8H9	unreviewed	Hydrogenase maturation protein	2231055	Dechloromonas sp. HYN0024	562	IPR009188	1..560
A0A3C0KD51	unreviewed	Hydrogenase maturation protein	1871071	Comamonadaceae bacterium	582	IPR009188	3..582
A0A3D0QXZ9	unreviewed	Hydrogenase maturation protein	1931	Streptomyces sp.	554	IPR009188	1..553
A0A3D1JLW2	unreviewed	Hydrogenase maturation protein	1871071	Comamonadaceae bacterium	592	IPR009188	1..591
A0A3D3ZV48	unreviewed	Hydrogenase maturation protein	1920174	Octadecabacter sp.	570	IPR009188	1..569
A0A3D5T246	unreviewed	Hydrogenase maturation protein	1898103	Rhodocyclaceae bacterium	585	IPR009188	1..580
A0A3E1HLS6	unreviewed	Formyl transferase	2014741	Pseudomonas sp. GL93	575	IPR009188	4..572
A0A3E1R6U2	unreviewed	Formyl transferase C-terminal domain-containing protein	2184758	Rhodoferax lacus	577	IPR009188	1..577
A0A3G2JR22	unreviewed	Formyl transferase C-terminal domain-containing protein	1442032	Streptomyces dangxiongensis	569	IPR009188	1..568
A0A3G4VND9	unreviewed	Methionyl-tRNA formyltransferase	1522758	Streptomyces sp. ADI95-16	591	IPR009188	1..570
A0A3G7TNG5	unreviewed	HoxX-like protein	587753	Pseudomonas chlororaphis	572	IPR009188	4..571
A0A3G7U7M7	unreviewed	Formyl transferase C-terminal domain-containing protein	47883	Pseudomonas synxantha	577	IPR009188	4..576
A0A3L6LWD2	unreviewed	Hydrogenase maturation protein	2316108	Rhodocyclales bacterium GT-UBC	558	IPR009188	1..556
A0A3L8C9R2	unreviewed	Formyl transferase	1148509	Pseudomonas prosekii	572	IPR009188	4..571
A0A3M0HV78	unreviewed	Formyl transferase C-terminal domain-containing protein	943815	Streptomyces shenzhenensis	589	IPR009188	1..574
A0A3M0YIE0	unreviewed	Hydrogenase maturation protein	1898104	Bacteroidota bacterium	598	IPR009188	1..577
A0A3M1BIV5	unreviewed	Hydrogenase maturation protein	2202151	Aquificota bacterium	568	IPR009188	1..567
A0A3M1KFW2	unreviewed	Hydrogenase maturation protein	1913989	Gammaproteobacteria bacterium	556	IPR009188	1..556
A0A3M1UTN1	unreviewed	Hydrogenase maturation protein	1898104	Bacteroidota bacterium	580	IPR009188	1..566
A0A3M2GV25	unreviewed	Hydrogenase maturation protein	1978231	Acidobacteriota bacterium	556	IPR009188	1..556
A0A3M3EHD5	unreviewed	Formyl transferase C-terminal domain-containing protein	47879	Pseudomonas corrugata	572	IPR009188	4..572
A0A3M4Q8Z0	unreviewed	Formyl transferase C-terminal domain-containing protein	191391	Pseudomonas salomonii	582	IPR009188	14..581
A0A3M5W167	unreviewed	Formyl transferase	663959	Pseudomonas syringae pv. avii	575	IPR009188	4..572
A0A3N0D3B0	unreviewed	Formyl transferase C-terminal domain-containing protein	2483113	Streptomyces sp. I6	568	IPR009188	1..568
A0A3N1GIH3	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	56438	Couchioplanes caeruleus	595	IPR009188	1..575
A0A3N1ILE1	unreviewed	Formyl transferase C-terminal domain-containing protein	1520461	Streptomyces sp. PanSC9	575	IPR009188	1..568
A0A3N1TGQ9	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2485153	Streptomyces sp. CEV 2-1	584	IPR009188	24..583
A0A3N1VAA8	unreviewed	Formyl transferase C-terminal domain-containing protein	2485161	Streptomyces sp. 2132.2	604	IPR009188	1..585
A0A3N1Y112	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1750597	Inmirania thermothiophila	570	IPR009188	1..568
A0A3N2H6X1	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	84480	Amycolatopsis thermoflava	556	IPR009188	1..556
A0A3N4T0T0	unreviewed	Formyl transferase C-terminal domain-containing protein	1938851	Streptomyces sp. Ag109_O5-1	556	IPR009188	1..555
A0A3N4ZCG0	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2485154	Streptomyces sp. Ag109_G2-6	590	IPR009188	1..569
A0A3N5A3E8	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2485151	Streptomyces sp. TLI_185	572	IPR009188	1..570
A0A3N6I2F2	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase-1	1522759	Streptomyces sp. ADI95-17	561	IPR009188	1..553
A0A3N7DUL8	unreviewed	Formyl transferase C-terminal domain-containing protein	2153358	Variovorax sp. KBW07	577	IPR009188	1..576
A0A3P1SWG0	unreviewed	Hydrogenase maturation protein	452629	Amphritea balenae	577	IPR009188	1..577
A0A3P3VM18	unreviewed	Hydrogenase maturation protein	2528527	Aestuariirhabdus litorea	569	IPR009188	1..569
A0A3Q8VH27	unreviewed	Formyl transferase C-terminal domain-containing protein	2203204	Streptomyces sp. WAC 01438	568	IPR009188	1..566
A0A3Q9EYP3	unreviewed	Hydrogenase maturation protein	2496836	Streptomyces cyaneochromogenes	578	IPR009188	1..577
A0A3Q9K2K1	unreviewed	Hydrogenase maturation protein	47763	Streptomyces lydicus	569	IPR009188	1..568
A0A3R8RG60	unreviewed	Hydrogenase maturation protein	146922	Streptomyces griseofuscus	584	IPR009188	1..573
A0A3R9VPU4	unreviewed	Formyl transferase C-terminal domain-containing protein	2487425	Streptomyces sp. WAC07149	591	IPR009188	1..574
A0A3S0FF47	unreviewed	Hydrogenase maturation protein	1898103	Rhodocyclaceae bacterium	578	IPR009188	1..575
A0A3S0KRJ1	unreviewed	Formyl transferase C-terminal domain-containing protein	271099	Shewanella atlantica	588	IPR009188	1..586
A0A3S3SAN2	unreviewed	Hydrogenase maturation protein	2506149	Endozoicomonadaceae bacterium GTF-13	569	IPR009188	1..569
A0A3S8Y359	unreviewed	Hydrogenase maturation protein	2305220	Streptomyces sp. W1SF4	590	IPR009188	1..571
A0A3S9CSE6	unreviewed	Hydrogenase maturation protein	2493672	Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	573	IPR009188	1..572
A0A3T0JVI1	unreviewed	Formyl transferase	317	Pseudomonas syringae	572	IPR009188	4..571
A0A3T1ATJ1	unreviewed	Formyl transferase	946334	Actinoplanes sp. OR16	596	IPR009188	1..577
A0A401MUI3	unreviewed	Formyl transferase C-terminal domain-containing protein	376149	Streptomyces sp. NL15-2K	592	IPR009188	1..285,292..589
A0A401QW45	unreviewed	Hydrogenase maturation protein	1971	Streptomyces noursei	577	IPR009188	1..575
A0A410V0Q9	unreviewed	Hydrogenase maturation factor HoxX	1325090	Bradyrhizobium guangdongense	566	IPR009188	1..566
A0A410VIV2	unreviewed	Hydrogenase maturation factor HoxX	1325090	Bradyrhizobium guangdongense	566	IPR009188	1..565
A0A420UZ33	unreviewed	Formyl transferase C-terminal domain-containing protein	1038928	Streptomyces xinghaiensis	573	IPR009188	1..563
A0A421K7P3	unreviewed	Hydrogenase maturation protein	1968599	gamma proteobacterium symbiont of Stewartia floridana	568	IPR009188	1..567
A0A423ES04	unreviewed	Formyl transferase	200451	Pseudomonas poae	572	IPR009188	4..570
A0A423FX60	unreviewed	Formyl transferase	930166	Pseudomonas brassicacearum	572	IPR009188	4..572
A0A423H1B7	unreviewed	Formyl transferase	930166	Pseudomonas brassicacearum	572	IPR009188	4..569
A0A423H6J9	unreviewed	Formyl transferase	930166	Pseudomonas brassicacearum	572	IPR009188	4..570
A0A423IE73	unreviewed	Formyl transferase C-terminal domain-containing protein	163011	Pseudomonas lini	572	IPR009188	4..571
A0A423JDU3	unreviewed	Formyl transferase	104087	Pseudomonas frederiksbergensis	572	IPR009188	4..570
A0A423KDH4	unreviewed	Formyl transferase	104087	Pseudomonas frederiksbergensis	572	IPR009188	4..569
A0A423KF98	unreviewed	Formyl transferase	104087	Pseudomonas frederiksbergensis	570	IPR009188	4..570
A0A423LLJ3	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..572
A0A423MLL6	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..571
A0A423NCR4	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..570
A0A423NQR8	unreviewed	Formyl transferase	321662	Pseudomonas moraviensis	575	IPR009188	4..574
A0A423NWE6	unreviewed	Formyl transferase	294	Pseudomonas fluorescens	572	IPR009188	4..570
A0A426UNX6	unreviewed	Hydrogenase maturation protein	2490848	Streptomyces sp. RP5T	593	IPR009188	1..582
A0A427T2A6	unreviewed	Formyl transferase C-terminal domain-containing protein	2267691	Amycolatopsis eburnea	564	IPR009188	1..563
A0A428W3X8	unreviewed	Formyl transferase C-terminal domain-containing protein	1081091	Amycolatopsis balhimycina DSM 5908	559	IPR009188	1..557
A0A428X826	unreviewed	Formyl transferase C-terminal domain-containing protein	2203201	Streptomyces sp. WAC 00631	573	IPR009188	1..563
A0A428X9S3	unreviewed	Formyl transferase C-terminal domain-containing protein	1288362	Actinoplanes sp. ATCC 53533	598	IPR009188	1..577
A0A429A451	unreviewed	Hydrogenase maturation protein	2203202	Streptomyces sp. WAC 01325	568	IPR009188	1..567
A0A429B1S4	unreviewed	Formyl transferase	2203200	Nonomuraea sp. WAC 01424	567	IPR009188	1..564
A0A429FJZ2	unreviewed	Hydrogenase maturation protein	2203206	Streptomyces sp. WAC 04229	576	IPR009188	1..575
A0A429UDY8	unreviewed	Hydrogenase maturation protein	2487420	Streptomyces sp. WAC05374	574	IPR009188	1..563
A0A430HBI3	unreviewed	Formyl transferase C-terminal domain-containing protein	2496119	Variovorax sp. 679	571	IPR009188	1..570
A0A431LR82	unreviewed	Formyl transferase N-terminal domain-containing protein	1891238	Burkholderiales bacterium	586	IPR009188	5..586
A0A431PWL2	unreviewed	Hydrogenase maturation protein	1909294	Hyphomicrobiales bacterium	593	IPR009188	1..589
A0A431TJ55	unreviewed	Hydrogenase maturation protein	1679495	Variovorax gossypii	571	IPR009188	1..570
A0A431WP03	unreviewed	Formyl transferase C-terminal domain-containing protein	271096	Shewanella canadensis	592	IPR009188	1..591
A0A433MS76	unreviewed	Formyl transferase C-terminal domain-containing protein	1775474	Variovorax guangxiensis	571	IPR009188	1..570
A0A438M5N4	unreviewed	Formyl transferase C-terminal domain-containing protein	46176	Nonomuraea polychroma	567	IPR009188	1..566
A0A446CSV3	unreviewed	Putative enoyl-CoA hydratase echA12	2069367	Achromobacter veterisilvae	585	IPR009188	9..585
A0A450RTP0	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	2126562	Candidatus Kentron sp. DK	592	IPR009188	1..592
A0A450TW84	unreviewed	Putative two-component system protein, hydrogenase maturation factor HypX/HoxX	2126340	Candidatus Kentron sp. FM	589	IPR009188	1..589
A0A450U8W0	unreviewed	Formyl transferase C-terminal domain-containing protein	2126342	Candidatus Kentron sp. LFY	588	IPR009188	1..587
A0A450UWK2	unreviewed	Formyl transferase C-terminal domain-containing protein	2126342	Candidatus Kentron sp. LFY	588	IPR009188	1..588
A0A450VIA4	unreviewed	Formyl transferase C-terminal domain-containing protein	2126337	Candidatus Kentron sp. H	555	IPR009188	1..555
A0A450WKX7	unreviewed	Formyl transferase C-terminal domain-containing protein	2126342	Candidatus Kentron sp. LFY	588	IPR009188	1..587
A0A481QX02	unreviewed	Formyl transferase	2073078	Pseudomonas sp. DTU12.3	572	IPR009188	4..571
A0A495TDR8	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1938830	Streptomyces sp. 1114.5	570	IPR009188	1..569
A0A495WPK0	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	146940	Azonexus fungiphilus	558	IPR009188	1..556
A0A496V5Q3	unreviewed	Formyl transferase C-terminal domain-containing protein	1913989	Gammaproteobacteria bacterium	615	IPR009188	1..615
A0A496XRJ7	unreviewed	Formyl transferase C-terminal domain-containing protein	2026809	Campylobacterota bacterium	547	IPR009188	1..546
A0A497XP23	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	246264	Hydrogenivirga caldilitoris	564	IPR009188	1..563
A0A4D4MIW6	unreviewed	Hydrogenase maturation factor HoxX	33903	Streptomyces avermitilis	618	IPR009188	1..602
A0A4P6GX18	unreviewed	Hydrogenase maturation protein	2082386	Methylibium sp. Pch-M	591	IPR009188	1..591
A0A4P6U3C0	unreviewed	Formyl transferase C-terminal domain-containing protein	73044	Streptomyces seoulensis	569	IPR009188	1..569
A0A4P6WRC0	unreviewed	Enoyl-CoA hydratase	47421	Hydrogenophaga pseudoflava	602	IPR009188	3..602
A0A4P7F7G1	unreviewed	Formyl transferase C-terminal domain-containing protein	1978229	Beijerinckiaceae bacterium	617	IPR009188	1..615
A0A4P7F8P9	unreviewed	Formyl transferase C-terminal domain-containing protein	1978229	Beijerinckiaceae bacterium	604	IPR009188	1..600
A0A4P7PEX7	unreviewed	Formyl transferase	2505979	Pseudomonas viciae	572	IPR009188	4..571
A0A4P9VTK1	unreviewed	Formyl transferase C-terminal domain-containing protein	202772	Zooshikella ganghwensis	591	IPR009188	1..578
A0A4Q0HMN1	unreviewed	Formyl transferase	47878	Pseudomonas azotoformans	575	IPR009188	4..573
A0A4Q0RUQ9	unreviewed	Hydrogenase maturation protein	1325118	Bradyrhizobium nanningense	566	IPR009188	1..566
A0A4Q1R426	unreviewed	Hydrogenase maturation protein	67364	Streptomyces sioyaensis	569	IPR009188	1..568
A0A4Q2TGC0	unreviewed	Formyl transferase C-terminal domain-containing protein	2509717	Ciceribacter ferrooxidans	563	IPR009188	1..560
A0A4Q5VBT1	unreviewed	Sensor protein hoxX	1913989	Gammaproteobacteria bacterium	574	IPR009188	1..573
A0A4Q6IBE3	unreviewed	Formyl transferase C-terminal domain-containing protein	1510026	Streptomyces sp. F001	598	IPR009188	1..281,276..596
A0A4Q7Z788	unreviewed	Formyl transferase C-terminal domain-containing protein	2512123	Streptomyces sp. BK022	569	IPR009188	1..565
A0A4Q7ZN55	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	349313	Krasilnikovia cinnamomea	591	IPR009188	1..575
A0A4Q8QJY9	unreviewed	Hydrogenase maturation protein	1571199	Bradyrhizobium sp. Leo170	566	IPR009188	1..565
A0A4Q9G2W3	unreviewed	Formyl transferase C-terminal domain-containing protein	2528211	Pseudomonas sp. BGI-2	575	IPR009188	4..575
A0A4R2JPE3	unreviewed	Formyl transferase C-terminal domain-containing protein	1213861	Actinocrispum wychmicini	562	IPR009188	1..562
A0A4R3USD1	unreviewed	Formyl transferase N-terminal domain-containing protein	304	Roseateles saccharophilus	577	IPR009188	3..577
A0A4R4XSP3	unreviewed	Formyl transferase	2530383	Nonomuraea terrae	567	IPR009188	1..566
A0A4R6JRK4	unreviewed	Formyl transferase C-terminal domain-containing protein	52695	Paractinoplanes brasiliensis	584	IPR009188	1..576
A0A4R7UXI8	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1471381	Pseudomonas helmanticensis	572	IPR009188	4..570
A0A4S2J0B7	unreviewed	Hydrogenase maturation factor HoxX	2283197	Streptomyces sp. S816	584	IPR009188	1..575
A0A4S2RD86	unreviewed	Formyl transferase C-terminal domain-containing protein	2562581	Streptomyces sp. RKND-216	598	IPR009188	1..590
A0A4S2S6Q5	unreviewed	Hydrogenase maturation protein	2563105	Streptomyces sp. A1547	589	IPR009188	1..573
A0A4S2SXW1	unreviewed	Hydrogenase maturation protein	2563102	Streptomyces sp. A1136	589	IPR009188	1..573
A0A4S4B357	unreviewed	Two-component system protein, hydrogenase maturation factor HypX/HoxX	2565932	Pseudothauera rhizosphaerae	575	IPR009188	1..574
A0A4U0GNT2	unreviewed	Formyl transferase C-terminal domain-containing protein	2562283	Sinimarinibacterium sp. CAU 1509	571	IPR009188	1..570
A0A4U0P853	unreviewed	Hydrogenase maturation protein	2571125	Streptomyces piniterrae	569	IPR009188	1..569
A0A4U0T947	unreviewed	Hydrogenase maturation protein	2571141	Actinacidiphila oryziradicis	562	IPR009188	1..555
A0A4U1BIK4	unreviewed	Hydrogenase maturation protein	2569538	Ferrimonas sediminicola	570	IPR009188	1..568
A0A4U3I5I8	unreviewed	Formyl transferase	2184006	Pseudomonas sp. CFBP13528	579	IPR009188	4..577
A0A4U8VZK3	unreviewed	4-chlorobenzoyl coenzyme A dehalogenase-1	135487	Nocardia cyriacigeorgica	563	IPR009188	1..563
A0A4V2DXT7	unreviewed	Formyl transferase	76758	Pseudomonas orientalis	579	IPR009188	4..575
A0A4V6RKD2	unreviewed	Hydrogenase maturation protein	2563099	Streptomyces sp. A0592	583	IPR009188	1..575
A0A4Y3V9F8	unreviewed	Hydrogenase maturation factor HoxX	284043	Streptomyces spinoverrucosus	579	IPR009188	6..574
A0A4Y4K1H1	unreviewed	Formyl transferase C-terminal domain-containing protein	2585753	Streptomyces sp. 6-11-2	569	IPR009188	1..563
A0A4Y6S285	unreviewed	Hydrogenase maturation protein	2590016	Labrenzia sp. PHM005	564	IPR009188	1..563
A0A4Y8VKK8	unreviewed	Formyl transferase	1628086	Pseudomonas kribbensis	572	IPR009188	4..571
A0A4Y8YB68	unreviewed	Hydrogenase maturation protein	2559605	Streptomyces sp. 4R-3d	576	IPR009188	1..575
A0A4Y9LJ13	unreviewed	Hydrogenase maturation protein	2560054	Bradyrhizobium frederickii	566	IPR009188	1..566
A0A4Y9P615	unreviewed	Hydrogenase maturation protein	2560054	Bradyrhizobium frederickii	566	IPR009188	1..565
A0A4Z0HDF6	unreviewed	Hydrogenase maturation protein	1701085	Streptomyces palmae	578	IPR009188	1..574
A0A4Z1D927	unreviewed	Formyl transferase C-terminal domain-containing protein	29306	Streptomyces griseoluteus	569	IPR009188	1..566
A0A4Z1DAW5	unreviewed	Formyl transferase C-terminal domain-containing protein	2340725	Streptomyces bauhiniae	569	IPR009188	1..566
A0A505D5P6	unreviewed	Formyl transferase C-terminal domain-containing protein	2315329	Streptomyces sporangiiformans	590	IPR009188	1..565
A0A510TJJ8	unreviewed	Formyl transferase C-terminal domain-containing protein	2590549	Streptomyces sp. 1-11	572	IPR009188	1..566
A0A511D4I4	unreviewed	Formyl transferase C-terminal domain-containing protein	1123024	Pseudonocardia asaccharolytica DSM 44247 = NBRC 16224	578	IPR009188	1..578
A0A512LB96	unreviewed	Hydrogenase maturation factor HoxX	171865	Sulfuriferula plumbiphila	561	IPR009188	1..561
A0A518UB72	unreviewed	Hydrogenase maturation protein	1981880	Denitratisoma sp. DHT3	569	IPR009188	1..569
A0A522LV63	unreviewed	Hydrogenase maturation protein	1913989	Gammaproteobacteria bacterium	578	IPR009188	1..576
A0A522VFV3	unreviewed	Hydrogenase maturation protein	2026786	Rhodospirillales bacterium	534	IPR009188	1..534
A0A522X3D5	unreviewed	Formyl transferase C-terminal domain-containing protein	2052161	Gallionella sp.	547	IPR009188	1..198,199..530
A0A523JG27	unreviewed	Formyl transferase C-terminal domain-containing protein	2026735	Deltaproteobacteria bacterium	547	IPR009188	1..546
A0A524BD97	unreviewed	Hydrogenase maturation protein	1898103	Rhodocyclaceae bacterium	558	IPR009188	1..556
A0A535L9M2	unreviewed	Hydrogenase maturation protein	2026724	Chloroflexota bacterium	558	IPR009188	1..558
A0A540WCK8	unreviewed	Hydrogenase maturation protein	2567942	Kitasatospora acidiphila	605	IPR009188	1..576
A0A542I0E7	unreviewed	Formyl transferase C-terminal domain-containing protein	2768453	Streptomyces sp. SLBN-115	582	IPR009188	1..572
A0A542K9C7	unreviewed	Formyl transferase C-terminal domain-containing protein	2768444	Streptomyces sp. SLBN-31	572	IPR009188	1..562
A0A542PY70	unreviewed	Formyl transferase C-terminal domain-containing protein	2768454	Streptomyces sp. SLBN-118	610	IPR009188	1..577
A0A542TIH7	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	164348	Streptomyces puniciscabiei	568	IPR009188	1..566
A0A543AR90	unreviewed	Formyl transferase C-terminal domain-containing protein	1496996	Stackebrandtia endophytica	564	IPR009188	1..564
A0A543E0U8	unreviewed	Formyl transferase C-terminal domain-containing protein	630975	Pseudonocardia kunmingensis	585	IPR009188	1..581
A0A543FMT9	unreviewed	Formyl transferase C-terminal domain-containing protein	882449	Pseudonocardia cypriaca	566	IPR009188	1..565
A0A544UT58	unreviewed	Hydrogenase maturation protein	1421	Lysinibacillus sphaericus	565	IPR009188	1..564
A0A545AKI8	unreviewed	Formyl transferase C-terminal domain-containing protein	2593070	Cryptosporangium phraense	591	IPR009188	25..589
A0A545UJF7	unreviewed	Sensor protein hoxX	2592383	Aliikangiella coralliicola	563	IPR009188	1..563
A0A553ZQK9	unreviewed	Hydrogenase maturation protein	2595054	Streptomyces benahoarensis	582	IPR009188	1..577
A0A554PBH6	unreviewed	Formyl transferase	2578105	Pseudomonas sp. ATCC 13985	572	IPR009188	4..571
A0A554S5N9	unreviewed	Hydrogenase maturation protein	2578111	Variovorax sp. KBS0712	570	IPR009188	1..568
A0A554WLX8	unreviewed	Formyl transferase C-terminal domain-containing protein	247482	Tepidimonas aquatica	559	IPR009188	1..552
A0A554X5B1	unreviewed	Putative enoyl-CoA hydratase echA12	335431	Tepidimonas thermarum	580	IPR009188	3..580
A0A557R2L4	unreviewed	Hydrogenase maturation protein	1629404	Denitromonas halophila	576	IPR009188	1..575
A0A557RUB9	unreviewed	Hydrogenase maturation protein	1629404	Denitromonas halophila	576	IPR009188	1..575
A0A557S9W9	unreviewed	Hydrogenase maturation protein	191960	Sedimenticola selenatireducens	568	IPR009188	1..568
A0A558CWB4	unreviewed	Hydrogenase maturation protein	1543721	Sedimenticola thiotaurini	568	IPR009188	1..567
A0A558D077	unreviewed	Hydrogenase maturation protein	1628740	Azoarcus sp. PHD	576	IPR009188	1..573
A0A558FKG7	unreviewed	Formyl transferase	2598724	Pseudomonas sp. H3(2019)	572	IPR009188	4..570
A0A559TK52	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	1079460	Rhizobium mongolense USDA 1844	561	IPR009188	1..561
A0A559U630	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2572903	Streptomyces sp. BK340	575	IPR009188	1..573
A0A560PS57	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2572886	Pseudomonas sp. SJZ078	572	IPR009188	4..572
A0A560ZCG9	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	2572895	Pseudomonas sp. SJZ131	572	IPR009188	4..571
A0A561ETU0	unreviewed	Formyl transferase C-terminal domain-containing protein	285545	Kitasatospora atroaurantiaca	563	IPR009188	1..563
A0A561SG93	unreviewed	Putative two-component system hydrogenase maturation factor HypX/HoxX	281105	Kitasatospora viridis	563	IPR009188	8..563
